id,keyword_count_in_graph,vocab_size,raw_uncontr_words
317,19,73,22
318,12,32,14
319,26,69,30
320,35,62,36
321,17,45,21
322,13,57,17
323,12,41,17
324,26,54,33
325,15,49,18
326,11,68,12
327,19,54,20
328,19,69,21
329,20,51,20
330,13,57,13
331,22,58,25
332,27,42,29
333,26,59,29
334,9,38,11
335,8,19,10
338,1,19,11
339,18,81,31
340,11,24,11
341,6,23,10
342,11,27,14
343,13,28,16
344,8,48,11
345,7,35,9
346,22,70,26
347,16,35,16
348,12,23,14
349,10,53,16
350,5,44,5
351,11,27,12
352,28,54,30
353,7,16,9
354,13,37,14
355,6,18,8
356,18,27,18
357,22,51,22
358,8,28,8
359,13,32,13
360,11,28,11
361,14,40,15
362,16,73,19
363,11,30,11
364,17,59,18
365,30,69,33
366,25,59,28
367,15,29,17
368,29,78,32
369,10,39,12
370,18,66,20
371,14,71,16
373,13,51,14
374,22,37,34
375,24,63,28
376,28,45,28
377,15,25,20
378,21,49,21
379,35,59,36
380,36,60,36
381,24,48,26
382,30,62,30
383,19,53,21
384,21,66,24
385,24,62,31
386,16,45,21
387,22,53,27
388,26,75,30
389,22,33,26
390,28,91,33
391,17,54,23
392,24,90,25
393,19,93,21
394,16,51,22
395,27,59,29
396,19,46,20
397,22,85,24
398,36,68,39
399,21,48,26
400,30,55,40
401,16,44,20
402,11,40,23
403,26,50,27
404,30,66,44
405,10,38,10
406,14,35,16
407,11,43,15
408,5,51,6
410,21,34,22
411,12,30,14
412,15,51,21
413,12,47,15
414,13,47,16
1930,18,36,18
1931,11,30,12
1932,9,24,14
1933,10,15,10
1934,15,31,15
1935,14,28,14
1936,7,27,10
1937,15,29,15
1938,8,15,8
1939,14,28,16
1940,7,9,8
1941,11,21,11
1942,38,79,39
1943,16,67,18
1944,23,47,32
1945,16,59,17
1946,28,49,30
1947,14,43,19
1948,16,25,16
1949,53,82,57
1950,21,43,21
1951,23,43,26
1952,13,49,17
1953,16,29,20
1954,24,60,25
1955,15,50,16
1956,15,27,15
1957,18,40,20
1958,13,24,15
1959,7,11,9
1960,24,85,26
1961,22,49,22
1962,11,21,14
1963,12,39,17
1964,20,36,25
1965,19,45,20
1966,29,54,31
1967,22,52,27
1968,18,49,18
1969,21,68,21
1970,12,64,13
1971,14,83,15
1972,26,91,27
1973,11,31,15
1974,22,62,27
1975,22,46,23
1976,20,51,21
1977,20,48,23
1978,16,67,21
1979,42,77,43
1980,39,84,45
1981,13,40,13
1982,11,16,15
1983,6,26,9
1984,12,25,17
1985,14,40,15
1986,21,47,21
1987,6,55,6
1988,4,34,5
1989,6,39,8
1990,25,53,30
1991,24,44,25
1992,35,78,36
1993,13,52,13
1994,27,87,29
1995,27,86,28
1996,26,55,28
1997,11,16,18
1998,13,22,15
1999,31,44,32
2000,22,43,24
2001,15,54,17
2002,25,56,30
2003,24,51,26
2004,21,38,25
2005,27,77,33
2006,20,55,26
2007,40,54,47
2008,19,41,30
2009,25,70,29
2010,31,94,31
2011,25,47,28
2012,25,45,27
2013,22,35,22
2014,34,56,35
2015,27,41,29
2016,26,47,28
2017,38,73,38
2018,34,67,37
2019,48,76,49
2020,51,80,56
2021,24,38,26
2022,14,19,26
2023,33,81,39
2024,28,44,28
2025,34,49,36
2026,24,45,25
2027,26,35,27
2028,28,55,28
2029,21,52,21
2030,19,32,21
2031,22,46,25
2032,19,27,20
2033,13,32,15
2035,11,38,11
2036,9,16,10
2037,12,21,13
2038,11,41,12
2039,10,16,10
2040,14,19,14
2041,13,31,14
2042,27,70,27
2043,27,60,27
2044,17,45,21
2045,14,24,14
2046,10,57,11
2047,7,27,8
2048,5,20,6
2049,5,16,14
2050,4,24,13
2051,11,61,14
2052,4,36,10
2053,10,38,10
2054,9,54,9
2055,9,75,9
2056,14,68,17
2057,4,30,10
2058,7,21,8
2059,14,28,18
2060,9,19,12
2061,10,20,13
2062,8,27,11
2063,5,30,7
2064,7,40,10
2065,10,35,10
2066,9,40,16
2067,12,34,13
2068,15,49,18
2069,8,46,11
2070,12,35,16
2081,20,38,23
2082,14,53,18
2083,20,55,23
2084,16,44,17
2085,14,41,14
2086,27,55,36
2087,16,29,18
2088,32,59,33
2089,7,15,15
2090,20,28,21
2091,31,95,37
2092,42,103,44
2093,9,20,14
2094,13,29,16
2095,20,90,20
2096,17,88,19
2097,10,33,10
2098,14,49,14
2099,14,48,17
2100,8,22,9
2101,8,29,12
2102,9,45,15
2103,8,48,12
2104,12,47,12
2105,15,64,19
2106,13,58,19
2107,18,61,22
2108,16,54,20
2109,14,55,19
2110,12,44,15
2111,24,56,41
2112,16,54,17
2113,11,20,11
2114,9,24,9
2115,15,24,15
2116,19,45,20
2117,14,24,15
2118,7,16,9
2119,15,27,15
2120,8,21,10
2121,15,41,15
2122,17,30,17
2123,10,14,11
2124,11,22,13
2125,14,38,14
2126,12,16,12
2127,10,28,12
2128,17,26,20
2129,9,23,9
2130,12,23,15
2131,9,23,11
2132,15,26,18
2133,6,19,10
2134,20,40,22
2135,5,19,7
2136,7,28,8
2137,11,21,15
2138,11,14,13
2139,11,38,11
2140,8,19,9
2141,13,46,15
2142,18,22,18
2143,4,17,4
2144,6,29,6
2145,4,23,5
2146,28,81,30
2147,6,29,7
2148,5,42,5
2149,7,27,7
2150,13,52,19
2151,8,36,13
2152,16,47,16
2153,12,48,14
2154,14,67,15
2156,15,60,17
2157,21,62,22
2158,12,43,16
2159,18,56,19
2160,15,61,16
2161,6,31,6
2162,12,40,12
2163,10,57,10
2164,8,43,9
2165,9,33,9
2166,16,41,19
2167,15,39,21
2168,14,46,15
2169,8,18,8
2170,6,33,6
2171,13,64,13
2172,18,48,18
2173,9,38,10
2174,7,19,7
2175,13,47,15
2176,5,26,5
2177,21,95,27
2178,35,68,37
2179,17,60,18
2180,16,37,16
2181,42,76,42
2182,12,61,12
2183,12,64,13
2184,5,41,5
2185,25,63,30
2186,21,27,51
2187,18,34,22
2188,38,63,39
2189,7,28,7
2190,12,46,13
2191,6,32,11
2192,10,29,10
2193,13,25,13
2194,13,26,15
2195,6,48,8
2196,9,47,9
2197,9,18,9
2198,6,25,6
2199,14,24,16
2200,9,53,13
