id,n_candidate_words,n_keywords_in_graph,group
369,33,11,dense
370,58,18,dense
371,64,14,dense
373,48,13,dense
374,30,21,dense
375,56,24,dense
376,40,27,dense
377,23,14,dense
378,43,20,dense
379,55,35,dense
380,45,35,dense
381,45,24,dense
382,58,30,dense
383,49,19,dense
384,61,21,dense
385,56,24,dense
386,39,16,dense
387,48,21,dense
388,67,26,dense
389,31,22,dense
390,77,27,dense
391,49,17,dense
392,78,24,dense
393,87,19,dense
394,46,15,dense
395,53,27,dense
396,42,19,dense
397,76,22,dense
398,58,33,dense
399,44,21,dense
400,48,30,dense
401,39,15,dense
402,36,11,dense
403,44,24,dense
404,63,30,dense
405,32,9,sparse
406,28,13,dense
407,43,14,dense
408,41,6,sparse
410,30,20,dense
411,25,12,dense
412,42,14,dense
413,41,12,dense
414,43,13,dense
1930,33,18,dense
1931,28,11,dense
1932,22,9,sparse
1933,15,10,dense
1934,30,15,dense
1935,25,14,dense
1936,27,7,sparse
1937,29,15,dense
1938,13,8,sparse
1939,25,13,dense
1940,10,8,sparse
1941,20,10,dense
1942,76,39,dense
1943,57,16,dense
1944,44,22,dense
1945,48,15,dense
1946,42,28,dense
1947,33,13,dense
1948,24,16,dense
1949,74,51,dense
1950,36,20,dense
1951,40,22,dense
1952,39,12,dense
1953,28,16,dense
1954,50,24,dense
1955,46,15,dense
1956,24,15,dense
1957,36,17,dense
1958,23,13,dense
1959,10,7,sparse
1960,70,21,dense
1961,46,22,dense
1962,19,11,dense
1963,33,12,dense
1964,34,20,dense
1965,40,19,dense
1966,51,29,dense
1967,39,21,dense
1968,46,18,dense
1969,59,20,dense
1970,54,12,dense
1971,73,14,dense
1972,80,24,dense
1973,25,10,dense
1974,55,22,dense
1975,38,20,dense
1976,47,20,dense
1977,44,20,dense
1978,63,16,dense
1979,67,41,dense
1980,81,39,dense
1981,35,13,dense
1982,15,11,dense
1983,23,6,sparse
1984,24,12,dense
1985,36,14,dense
1986,43,21,dense
1987,47,6,sparse
1988,29,4,sparse
1989,36,6,sparse
1990,49,25,dense
1991,43,24,dense
1992,69,34,dense
1993,44,12,dense
1994,76,26,dense
1995,78,27,dense
1996,50,25,dense
1997,15,11,dense
1998,20,13,dense
1999,42,30,dense
2000,40,22,dense
2001,45,15,dense
2002,51,24,dense
2003,45,24,dense
2004,37,20,dense
2005,70,26,dense
2006,51,20,dense
2007,48,40,dense
2008,36,19,dense
2009,60,25,dense
2010,82,31,dense
2011,42,25,dense
2012,40,25,dense
2013,25,19,dense
2014,48,34,dense
2015,38,27,dense
2016,38,25,dense
2017,67,37,dense
2018,60,32,dense
2019,68,46,dense
2020,70,50,dense
2021,34,24,dense
2022,16,13,dense
2023,68,31,dense
2024,37,26,dense
2025,43,34,dense
2026,41,24,dense
2027,31,24,dense
2028,48,27,dense
2029,49,21,dense
2030,31,19,dense
2031,42,22,dense
2032,26,19,dense
2033,27,13,dense
2035,37,11,dense
2036,16,9,sparse
2037,19,12,dense
2038,41,11,dense
2039,15,10,dense
2040,18,14,dense
2041,28,12,dense
2042,68,27,dense
2043,54,27,dense
2044,41,17,dense
2045,24,14,dense
2046,44,10,dense
2047,24,7,sparse
2048,20,5,sparse
2049,15,5,sparse
2050,21,4,sparse
2051,51,11,dense
2052,33,4,sparse
2053,35,10,dense
2054,45,9,sparse
2055,66,9,sparse
2056,61,14,dense
2057,27,4,sparse
2058,19,7,sparse
2059,27,14,dense
2060,19,9,sparse
2061,18,10,dense
2062,23,8,sparse
2063,27,5,sparse
2064,35,7,sparse
2065,33,10,dense
2066,39,9,sparse
2067,33,12,dense
2068,43,13,dense
2069,43,8,sparse
2070,34,12,dense
2081,35,20,dense
2082,45,13,dense
2083,53,20,dense
2084,42,16,dense
2085,35,14,dense
2086,51,27,dense
2087,26,15,dense
2088,54,31,dense
2089,16,7,sparse
2090,27,20,dense
2091,79,29,dense
2092,91,42,dense
2093,17,9,sparse
2094,26,14,dense
2095,79,20,dense
2096,78,15,dense
2097,30,9,sparse
2098,40,14,dense
2099,40,14,dense
2100,20,7,sparse
2101,27,8,sparse
2102,38,9,sparse
2103,42,8,sparse
2104,39,12,dense
2105,52,15,dense
2106,52,13,dense
2107,56,17,dense
2108,47,15,dense
2109,49,14,dense
2110,42,12,dense
2111,47,24,dense
2112,52,16,dense
2113,18,10,dense
2114,24,9,sparse
2115,23,14,dense
2116,43,19,dense
2117,24,14,dense
2118,15,7,sparse
2119,26,15,dense
2120,19,8,sparse
2121,38,15,dense
2122,28,17,dense
2123,14,10,dense
2124,22,11,dense
2125,37,14,dense
2126,14,11,dense
2127,23,9,sparse
2128,24,17,dense
2129,21,9,sparse
2130,21,12,dense
2131,23,9,sparse
2132,24,15,dense
2133,20,6,sparse
2134,36,20,dense
2135,19,5,sparse
2136,26,8,sparse
2137,20,11,dense
2138,13,11,dense
2139,35,9,sparse
2140,17,8,sparse
2141,35,12,dense
2142,22,18,dense
2143,13,4,sparse
2144,29,6,sparse
2145,19,4,sparse
2146,73,28,dense
2147,26,7,sparse
2148,27,5,sparse
2149,26,7,sparse
2150,44,13,dense
2151,33,9,sparse
2152,40,15,dense
2153,41,12,dense
2154,64,14,dense
2156,48,15,dense
2157,51,20,dense
2158,41,12,dense
2159,47,17,dense
2160,53,15,dense
2161,28,6,sparse
2162,33,12,dense
2163,47,10,dense
2164,41,8,sparse
2165,32,9,sparse
2166,36,16,dense
2167,32,15,dense
2168,44,14,dense
2169,16,8,sparse
2170,29,6,sparse
2171,48,12,dense
2172,42,18,dense
2173,33,9,sparse
2174,15,7,sparse
2175,38,12,dense
2176,25,5,sparse
2177,87,21,dense
2178,65,35,dense
2179,57,17,dense
2180,36,16,dense
2181,69,39,dense
2182,53,12,dense
2183,56,12,dense
2184,34,5,sparse
2185,53,24,dense
2186,26,20,dense
2187,30,18,dense
2188,61,39,dense
2189,28,7,sparse
2190,40,12,dense
2191,27,5,sparse
2192,27,10,dense
2193,24,13,dense
2194,23,13,dense
2195,40,6,sparse
2196,31,9,sparse
2197,15,9,sparse
2198,24,6,sparse
2199,22,13,dense
2200,46,8,sparse
