id,n_words,n_keywords,keyword_ratio
366,52,24,0.4615
2092,91,42,0.4615
283,69,32,0.4638
274,56,26,0.4643
406,28,13,0.4643
378,43,20,0.4651
253,58,27,0.4655
218,15,7,0.4667
353,15,7,0.4667
2118,15,7,0.4667
2174,15,7,0.4667
2167,32,15,0.4688
2002,51,24,0.4706
2140,17,8,0.4706
1957,36,17,0.4722
306,55,26,0.4727
298,38,18,0.4737
2060,19,9,0.4737
215,80,38,0.475
268,40,19,0.475
1965,40,19,0.475
404,63,30,0.4762
399,44,21,0.4773
360,23,11,0.4783
1961,46,22,0.4783
411,25,12,0.48
1954,50,24,0.48
262,27,13,0.4815
1980,81,39,0.4815
2033,27,13,0.4815
292,58,28,0.4828
235,37,18,0.4865
267,39,19,0.4872
1986,43,21,0.4884
333,51,25,0.4902
365,63,31,0.4921
1992,69,34,0.4928
20,30,15,0.5
33,32,16,0.5
217,18,9,0.5
229,14,7,0.5
240,40,20,0.5
258,42,21,0.5
275,58,29,0.5
286,50,25,0.5
287,50,25,0.5
335,16,8,0.5
340,18,9,0.5
351,22,11,0.5
1934,30,15,0.5
1941,20,10,0.5
1944,44,22,0.5
1984,24,12,0.5
1996,50,25,0.5
2043,54,27,0.5
2124,22,11,0.5
2169,16,8,0.5
395,53,27,0.5094
1990,49,25,0.5102
2111,47,24,0.5106
1942,76,39,0.5132
382,58,30,0.5172
1937,29,15,0.5172
2059,27,14,0.5185
22,25,13,0.52
343,25,13,0.52
1939,25,13,0.52
250,23,12,0.5217
259,46,24,0.5217
2031,42,22,0.5238
1975,38,20,0.5263
2008,36,19,0.5278
303,51,27,0.5294
352,51,27,0.5294
2086,51,27,0.5294
2093,17,9,0.5294
324,49,26,0.5306
214,45,24,0.5333
230,15,8,0.5333
246,45,24,0.5333
381,45,24,0.5333
2003,45,24,0.5333
2018,60,32,0.5333
357,41,22,0.5366
1967,39,21,0.5385
2094,26,14,0.5385
2178,65,35,0.5385
2004,37,20,0.5405
2193,24,13,0.5417
291,57,31,0.5439
195,22,12,0.5455
227,22,12,0.5455
403,44,24,0.5455
1930,33,18,0.5455
294,42,23,0.5476
212,20,11,0.55
1951,40,22,0.55
2000,40,22,0.55
2137,20,11,0.55
269,49,27,0.551
234,29,16,0.5517
2017,67,37,0.5522
304,47,26,0.5532
367,27,15,0.5556
1950,36,20,0.5556
2061,18,10,0.5556
2113,18,10,0.5556
2134,36,20,0.5556
1991,43,24,0.5581
1935,25,14,0.56
2028,48,27,0.5625
2036,16,9,0.5625
1958,23,13,0.5652
2181,69,39,0.5652
2194,23,13,0.5652
1966,51,29,0.5686
398,58,33,0.569
31,49,28,0.5714
205,35,20,0.5714
257,21,12,0.5714
284,49,28,0.5714
308,49,28,0.5714
1953,28,16,0.5714
2081,35,20,0.5714
2130,21,12,0.5714
2088,54,31,0.5741
2087,26,15,0.5769
2119,26,15,0.5769
279,45,26,0.5778
285,57,33,0.5789
1962,19,11,0.5789
2045,24,14,0.5833
2117,24,14,0.5833
2026,41,24,0.5854
1964,34,20,0.5882
2199,22,13,0.5909
2011,42,25,0.5952
348,20,12,0.6
2187,30,18,0.6
2197,15,9,0.6
2122,28,17,0.6071
377,23,14,0.6087
2115,23,14,0.6087
1979,67,41,0.6119
236,31,19,0.6129
2030,31,19,0.6129
1938,13,8,0.6154
266,47,29,0.617
289,37,23,0.6216
320,53,33,0.6226
290,32,20,0.625
400,48,30,0.625
1956,24,15,0.625
2012,40,25,0.625
2132,24,15,0.625
2037,19,12,0.6316
219,11,7,0.6364
379,55,35,0.6364
39,36,23,0.6389
2188,61,39,0.6393
1998,20,13,0.65
2016,38,25,0.6579
249,24,16,0.6667
307,24,16,0.6667
332,39,26,0.6667
410,30,20,0.6667
1933,15,10,0.6667
1946,42,28,0.6667
1948,24,16,0.6667
2039,15,10,0.6667
376,40,27,0.675
2019,68,46,0.6765
281,53,36,0.6792
1949,74,51,0.6892
374,30,21,0.7
1959,10,7,0.7
2024,37,26,0.7027
2021,34,24,0.7059
356,24,17,0.7083
2014,48,34,0.7083
2128,24,17,0.7083
389,31,22,0.7097
2015,38,27,0.7105
260,14,10,0.7143
1999,42,30,0.7143
2020,70,50,0.7143
2123,14,10,0.7143
2032,26,19,0.7308
1982,15,11,0.7333
1997,15,11,0.7333
2090,27,20,0.7407
2013,25,19,0.76
2186,26,20,0.7692
2027,31,24,0.7742
380,45,35,0.7778
2040,18,14,0.7778
2126,14,11,0.7857
2025,43,34,0.7907
1940,10,8,0.8
243,42,34,0.8095
2022,16,13,0.8125
2142,22,18,0.8182
2007,48,40,0.8333
2138,13,11,0.8462
263,33,28,0.8485
